model,shift,severity,domain,auroc,binary_accuracy,fpr_at_tpr90,ece,latency_median_s,latency_iqr_lo,latency_iqr_hi,detection_rate,holdout_accuracy,n_train,n_test,status
Deep,sample_rate_mismatch,0.9,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,sample_rate_mismatch,0.9,B,0.6063,0.4750,1.0000,0.0411,,,,0.0000,0.0000,250,90,ok
RF,quantization_change,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,quantization_change,0.3,B,0.9955,0.9444,1.0000,0.0765,,,,0.0000,0.8000,250,90,ok
Deep,quantization_change,0.3,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,quantization_change,0.3,B,0.5400,0.4750,1.0000,0.0379,,,,0.0000,0.0000,250,90,ok
RF,quantization_change,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,quantization_change,0.6,B,1.0000,1.0000,1.0000,0.0363,,,,0.0000,0.8000,250,90,ok
Deep,quantization_change,0.6,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,quantization_change,0.6,B,0.5594,0.5000,1.0000,0.0377,,,,0.0000,0.0000,250,90,ok
RF,quantization_change,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,quantization_change,0.9,B,1.0000,0.9889,1.0000,0.0320,,,,0.0000,0.8000,250,90,ok
Deep,quantization_change,0.9,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,quantization_change,0.9,B,0.5669,0.5375,1.0000,0.0399,,,,0.0000,0.0000,250,90,ok
