model,worst_auroc,worst_auroc_shift,worst_fpr_at_tpr90,worst_fpr_shift,avg_auroc_domain_b,avg_ece_domain_b,latency_median_s,inference_ms,memory_mb,model_size_params,real_time_capable_at_khz
CUSUM,0.0000,n/a,1.0000,n/a,0.0000,0.0000,,44.69,11.50,0,447.5
RF,0.7735,rate_decrease,1.0000,sixty_hz,0.9902,0.1275,,4.95,0.10,854,4042.7
Deep,0.0000,n/a,1.0000,n/a,0.0000,0.0000,,14.29,0.00,76045,1399.8
