threshold_sigma,worst_fpr_hr,sensitivity,cls_rate,median_latency_s
3.0,66.00,1.000,1.000,1.00
4.0,66.00,1.000,1.000,1.00
5.0,60.00,1.000,1.000,1.50
6.0,54.00,1.000,1.000,2.00
7.0,48.00,1.000,1.000,2.00
8.0,48.00,1.000,1.000,2.00
10.0,24.00,1.000,1.000,3.00
